*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BlueJamma-Current
*Date=18:21:48
*CreatedBy=Fritzing 0.9.9b.2021-09-22.0.9.6-35-gf0af53a9
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;50.1363;-51.8864;0;Bottom;TXT26
2;;HC-49S-SMD;97.8761;-57.1952;90;Top;XTAL2
3;;;32.276;-39.9014;0;Bottom;Hole10
4;;THT;188.116;-81.5949;90;Bottom;J10
5;;;89.0909;-48.1817;0;Bottom;TXT31
6;1kΩ;0402 [SMD, JLCPCB];84.9757;-76.0299;90;Top;R11
7;;;36.3761;-47.8948;0;Bottom;Via59
8;20Ω;1206 [SMD];43.4759;-35.7448;-90;Top;R40
9;;;118.776;-64.9949;0;Bottom;Via58
10;;usb-b-pth;48.8261;-23.8449;-90;Bottom;USB to PC
11;;;41.3687;-19.0015;0;Bottom;Via75
12;;THT;79.9758;-74.1949;-90;Bottom;J2
13;;;63.7986;-22.5001;-90;Bottom;TXT32
14;4.7kΩ;0402 [SMD, JLCPCB];48.7409;-39.9949;0;Top;R43
15;;;35.7308;-45.6355;0;Bottom;TXT29
16;;;55.3015;-63.2717;0;Bottom;IMG16
17;;THT;18.1903;-55.3499;-69.4442;Bottom;J13
18;1kΩ;0402 [SMD, JLCPCB];46.9759;-76.0299;90;Top;R30
19;1kΩ;0402 [SMD, JLCPCB];76.9759;-76.0299;90;Top;R15
20;;;161.576;-39.895;0;Bottom;Hole11
21;1kΩ;0402 [SMD, JLCPCB];72.9759;-76.0299;90;Top;R17
22;;;97.0058;-83.6719;0;Bottom;U1
23;;;68.076;-17.7948;0;Bottom;Hole19
24;;;13.3111;-59.6021;-69.4;Bottom;TXT33
25;Variable V;SOT-223-3;143.276;-70.0652;-270;Top;VR1
26;;THT;47.6561;-45.8949;-90;Bottom;J12
27;;;47.5761;-32.4948;0;Bottom;Via73
28;1kΩ;0402 [SMD, JLCPCB];42.976;-54.6298;90;Top;R39
29;;;2.37606;-62.8792;0;Bottom;Hole6
30;;;23.6263;-57.4714;-69.4;Bottom;TXT27
31;;;16.1686;-59.835;-69.4;Bottom;TXT27
32;;0805;126.176;-71.4299;-90;Top;LED1
33;;;77.7759;-65.8949;0;Bottom;Via21
34;;;154.276;-73.7949;0;Bottom;Via81
35;;;110.076;-66.6949;0;Bottom;Via66
36;;THT;79.9761;-78.395;-90;Bottom;J1
37;;;151.776;-76.4949;0;Bottom;Via1
38;100nF;0402 [SMD, JLCPCB];96.9034;-65.9944;0;Top;C14
39;;;53.8762;-63.1949;0;Bottom;Via54
40;;;63.6761;-29.6949;0;Bottom;Via79
41;;;89.2762;-26.195;0;Bottom;Via42
42;10uF;0402 [SMD, JLCPCB];143.903;-76.5944;0;Top;C1
43;;;94.7758;-57.7949;0;Bottom;Via19
44;;;148.976;-72.9949;0;Bottom;Via14
45;;;197.376;-62.8949;0;Bottom;Hole7
46;1kΩ;0402 [SMD, JLCPCB];86.9758;-76.0299;90;Top;R10
47;;;68.576;-62.8949;0;Bottom;Via31
48;1kΩ;0402 [SMD, JLCPCB];62.976;-76.0299;90;Top;R22
49;100nF;0402 [SMD, JLCPCB];75.5753;-58.1221;90;Top;C7
50;1kΩ;0402 [SMD, JLCPCB];50.9759;-76.0299;90;Top;R28
51;1kΩ;0402 [SMD, JLCPCB];64.9761;-76.0299;90;Top;R21
52;;;69.676;-17.7948;0;Bottom;Hole20
53;;;174.317;-55.3534;-18;Bottom;IMG19
54;;;90.076;-21.695;0;Bottom;Via51
55;;;188.104;-73.6103;180;Bottom;TXT24
56;;THT;155.686;-19.195;-90;Bottom;Volume Conn
57;;;70.1759;-62.8949;0;Bottom;Via30
58;;;78.7761;-30.795;0;Bottom;Via45
59;;;109.744;-56.7801;0;Top;U2
60;;;187.817;-76.3518;180;Bottom;TXT20
61;;;89.776;-24.4949;0;Bottom;Via52
62;;;128.876;-70.8949;0;Bottom;Via71
63;;3362P;113.708;-38.6685;0;Bottom;Red Gain
64;;;66.9761;-62.8949;0;Bottom;Via32
65;;;115.876;-30.9948;0;Bottom;Via46
66;;;130.976;-78.8949;0;Bottom;Via4
67;;;124.276;-74.0949;0;Bottom;Via70
68;;;126.135;-75.1733;-90;Bottom;TXT30
69;;THT;47.6361;-54.195;-90;Bottom;BOOT0
70;;;50.537;-48.6341;-90;Bottom;TXT6
71;;;55.3858;-32.4852;0;Bottom;Via72
72;;;68.8315;-22.4764;-90;Bottom;TXT32
73;;;141.026;-53.045;0;Bottom;PAM8610
74;;;73.3758;-62.8949;0;Bottom;Via28
75;;;118.824;-75.8751;-90;Bottom;TXT30
76;;;122.729;-75.0751;-90;Bottom;TXT30
77;;3362P;97.2759;-38.6699;0;Bottom;Green Gain
78;;;61.2183;-22.5805;-90;Bottom;TXT32
79;;;84.4758;-51.895;0;Bottom;Via27
80;1kΩ;0402 [SMD, JLCPCB];68.976;-76.0299;90;Top;R19
81;10kΩ;0402 [SMD, JLCPCB];99.176;-67.4599;90;Top;R31
82;75Ω;0402 [SMD, JLCPCB];73.6761;-29.1299;-90;Top;R35
83;1kΩ;0402 [SMD, JLCPCB];54.9761;-76.0299;90;Top;R26
84;;;71.7758;-62.8949;0;Bottom;Via29
85;1.5kΩ;0402 [SMD, JLCPCB];80.9758;-76.0299;90;Top;R13
86;;;71.176;-17.7948;0;Bottom;Hole21
87;;;120.876;-75.4949;0;Bottom;Via13
88;;;125.176;-37.695;0;Bottom;Via49
89;;;117.076;-30.9948;0;Bottom;Via48
90;;;55.3762;-58.295;0;Bottom;Via53
91;;;34.4759;-56.8949;0;Bottom;Via60
92;510Ω;0603 [SMD, JLCPCB];91.226;-52.895;0;Top;R42
93;100kΩ;0402 [SMD, JLCPCB];58.641;-52.295;0;Top;R36
94;;;130.976;-70.5949;0;Bottom;Via82
95;;;58.6783;-22.5805;-90;Bottom;TXT32
96;;;92.176;-63.8949;0;Bottom;Via16
97;;;114.576;-30.9948;0;Bottom;Via47
98;;THT;76.2362;-21.595;-90;Bottom;J11
99;;SMA(DO-214AC);151.676;-71.2295;-270;Top;D1
100;;;32.876;-59.9949;0;Bottom;Via61
101;;THT;47.6361;-56.7548;-90;Bottom;BOOT1
102;;;136.643;-33.4295;0;Bottom;TXT24
103;10uF;0402 [SMD, JLCPCB];136.603;-74.9944;0;Top;C3
104;;;87.6015;-70.952;0;Bottom;IMG17
105;;;66.2983;-22.5303;-90;Bottom;TXT32
106;;;60.3762;-17.7948;0;Bottom;Hole14
107;;;155.555;-26.2049;-90;Bottom;IMG20
108;;;58.4761;-24.8948;0;Bottom;Via77
109;;;45.1787;-48.9378;-90;Bottom;TXT4
110;1kΩ;0402 [SMD, JLCPCB];92.9759;-76.0299;90;Top;R7
111;;;96.8471;-21.4606;180;Bottom;VGA 15Khz Input
112;;;48.0292;-48.8368;-90;Bottom;TXT7
113;;3362P;64.2152;-38.7684;0;Bottom;Sync Cut
114;510Ω;0603 [SMD, JLCPCB];126.176;-67.5449;90;Top;R1
115;1MΩ;0402 [SMD, JLCPCB];100.476;-57.2599;-90;Top;R32
116;20pf;0402 [SMD, JLCPCB];93.6031;-54.9945;0;Top;C11
117;;;47.8756;-43.2291;0;Bottom;TXT34
118;;;77.676;-48.6949;0;Bottom;Via41
119;;;52.7956;-49.2248;-90;Bottom;TXT5
120;1kΩ;0402 [SMD, JLCPCB];56.9762;-76.0299;90;Top;R25
121;;;45.0396;-51.8797;0;Bottom;TXT26
122;;SMD;35.8761;-20.8452;-180;Top;U1
123;1kΩ;0402 [SMD, JLCPCB];82.9759;-76.0299;90;Top;R12
